@relation features-weka.filters.unsupervised.instance.RemovePercentage-P15.0-weka.filters.unsupervised.instance.RemovePercentage-P15.0

@attribute xMean numeric
@attribute xStdDev numeric
@attribute xIntqr numeric
@attribute yMean numeric
@attribute yStdDev numeric
@attribute yIntqr numeric
@attribute zMean numeric
@attribute zStdDev numeric
@attribute zIntqr numeric
@attribute CorrXY numeric
@attribute CorrXZ numeric
@attribute CorrYZ numeric
@attribute timeStamp numeric
@attribute class {sitting,walking,standing,lying,'on table',running}

@data
10.113794,0.067157,0.0785,-1.005769,0.065557,0.078455,-0.313028,0.071805,0.107873,0.093963,-0.110928,-0.032973,1445365254372,sitting
10.107256,0.06184,0.0785,-1.007992,0.065959,0.078455,-0.350947,0.083448,0.11768,0.191339,-0.12331,-0.041003,1445365260499.000064,sitting
10.10111,0.068547,0.1177,-1.02146,0.060681,0.078455,-0.366638,0.073647,0.11768,0.014912,-0.082849,-0.003638,1445365266601.999872,sitting
10.105815,0.083234,0.0785,-1.01793,0.068367,0.078455,-0.385074,0.074859,0.078454,-0.011195,0.023551,-0.089243,1445365272841.999872,sitting
10.115497,0.074663,0.0785,-1.021068,0.066477,0.078455,-0.371737,0.076891,0.11768,0.082775,-0.079883,0.041991,1445365278942.000128,sitting
10.10739,0.066244,0.1177,-1.021852,0.061887,0.078455,-0.379321,0.06882,0.11768,0.060269,0.065433,-0.037516,1445365285153.999872,sitting
10.103334,0.073292,0.1177,-1.017407,0.071008,0.078455,-0.389128,0.074278,0.107874,0.150566,-0.208479,-0.10198,1445365291192,sitting
10.11458,0.069932,0.0785,-1.010869,0.059378,0.078455,-0.40168,0.066863,0.078454,-0.085068,-0.025087,-0.012232,1445365297331.000064,sitting
10.104774,0.062624,0.1079,-1.009431,0.069205,0.078455,-0.408741,0.072702,0.11768,0.074795,-0.001578,0.070164,1445365303470.000128,sitting
10.107778,0.08134,0.0785,-1.009038,0.060957,0.078455,-0.416063,0.075498,0.11768,0.090149,0.077248,-0.119259,1445365309630.000128,sitting
10.111701,0.069554,0.0785,-1.027867,0.067851,0.078455,-0.427962,0.070819,0.078453,-0.008303,-0.104449,-0.015538,1445365315772,sitting
-1.177189,0.087888,0.11768,-9.631438,0.054665,0.07845,1.32965,0.088612,0.07845,0.092546,-0.047783,0.02599,1445414556876,standing
-1.159145,0.077205,0.11768,-9.621631,0.059629,0.07845,1.403004,0.089303,0.15691,-0.0545,0.001116,0.021421,1445414563016,standing
-1.151169,0.086857,0.11768,-9.634314,0.058438,0.07845,1.283755,0.11917,0.15691,0.096223,0.029616,0.175326,1445414569156.999936,standing
-1.17039,0.076762,0.11768,-9.644252,0.059508,0.07845,1.188696,0.110843,0.15691,-0.00885,-0.125723,0.121138,1445414575376,standing
-1.174705,0.069889,0.07845,-9.634183,0.061368,0.07845,1.203078,0.086868,0.11768,-0.044815,0.023968,0.012815,1445414581456.999936,standing
-1.159668,0.086258,0.11768,-9.639414,0.057756,0.07845,1.199156,0.098506,0.11768,-0.036667,-0.116085,0.089519,1445414587556,standing
-1.161498,0.079021,0.11768,-9.64229,0.065284,0.07845,1.141623,0.093473,0.147095,-0.011202,-0.106667,0.015276,1445414593736,standing
-1.174312,0.084935,0.07845,-9.640329,0.058751,0.07845,1.171043,0.090273,0.11768,-0.072769,0.038116,0.04227,1445414599945.999872,standing
-1.164767,0.079554,0.11768,-9.638237,0.054736,0.07845,1.300753,0.098683,0.11768,-0.038989,-0.004404,-0.104877,1445414606108,standing
-1.16359,0.073123,0.07845,-9.641375,0.059345,0.07845,1.197717,0.090704,0.11768,-0.05046,-0.159736,0.055319,1445414612207.000064,standing
-1.171566,0.08269,0.07845,-9.644905,0.058475,0.07845,1.154438,0.086726,0.11768,0.060738,-0.138649,0.081273,1445414618345.999872,standing
